Слово,Количество
новостная,1
лента,1
новости,20
вставляю,5
новость,4
батуми,4
запись,1
кутаиси,4
сегодня,9
в,21
городе,5
прошел,5
фестиваль,5
уличной,3
еды,3
собравший,3
тысячи,3
гостей,3
милан,3
открылась,3
новая,3
выставка,3
современного,5
искусства,5
париж,3
реклама,15
продается,5
велосипед,3
отличном,5
состоянии,5
недорого,3
действительна,15
до,15
дней,15
осталось,15
сдам,3
уютную,3
квартиру,3
центре,5
города,5
все,6
удобства,3
гороскоп,20
овен,3
стоит,3
уделить,3
внимание,5
карьере,3
возможны,5
новые,3
перспективы,3
тэги,20
близнецы,3
и,10
весы,5
почувствуют,3
прилив,3
энергии,3
отличное,3
время,3
для,7
новых,7
начинаний,3
жители,3
смогут,3
наблюдать,3
редкое,3
астрономическое,3
явление,3
куплю,3
автомобиль,5
года,3
выпуска,3
или,3
новее,3
рассмотрю,5
предложения,3
рак,3
скорпион,5
особенно,3
чувствительны,3
избегайте,3
конфликтов,3
дева,5
может,3
столкнуться,3
с,7
неожиданными,3
возможностями,3
доверьтесь,3
интуиции,3
состоялось,2
открытие,2
нового,2
музея,2
берлин,2
на,4
курортах,2
турции,2
начинается,2
туристический,2
сезон,2
новыми,2
развлечениями,2
анталья,2
токио,4
аниме,2
тысячами,2
участников,2
костюмах,2
возможен,2
торг,2
отдам,2
котенка,2
добрые,2
руки,2
ласковый,2
приучен,2
к,4
лотку,2
сниму,2
комнату,2
любые,2
варианты,2
лев,2
день,4
подходит,2
творчества,2
поиска,2
идей,2
уделите,2
здоровью,2
полезны,2
прогулки,2
свежем,2
воздухе,2
благоприятен,2
знакомств,2
общения,2
будьте,2
внимательны,2
деталям,2
неожиданные,2
события,2
